Date,Price,Ticker
2021-10-20,237.02,TGT
2021-10-21,234.51,TGT
2021-10-22,238.11,TGT
2021-10-25,239.35,TGT
2021-10-26,243.62,TGT
2021-10-27,241.33,TGT
2021-10-28,240.7,TGT
2021-10-29,239.07,TGT
2021-11-01,243.76,TGT
2021-11-02,241.41,TGT
2021-11-03,241.11,TGT
2021-11-04,242.93,TGT
2021-11-05,243.25,TGT
2021-11-08,236.03,TGT
2021-11-09,235.59,TGT
2021-11-10,236.75,TGT
2021-11-11,236.98,TGT
2021-11-12,239.88,TGT
2021-11-15,244.92,TGT
2021-11-16,245.95,TGT
2021-11-17,237.53,TGT
2021-11-18,239.49,TGT
2021-11-19,234.82,TGT
2021-11-22,235.13,TGT
2021-11-23,229.73,TGT
2021-11-24,231.83,TGT
2021-11-26,232.57,TGT
2021-11-29,232.43,TGT
2021-11-30,230.39,TGT
2021-12-01,229.75,TGT
2021-12-02,226.21,TGT
2021-12-03,230.74,TGT
2021-12-06,232.35,TGT
2021-12-07,228.77,TGT
2021-12-08,230.75,TGT
2021-12-09,223.61,TGT
2021-12-10,221.79,TGT
2021-12-13,222.5,TGT
2021-12-14,215.94,TGT
2021-12-15,218.46,TGT
2021-12-16,220.66,TGT
2021-12-17,210.26,TGT
2021-12-20,206.7,TGT
2021-12-21,205.63,TGT
2021-12-22,205.55,TGT
2021-12-23,204.38,TGT
2021-12-27,207.7,TGT
2021-12-28,209.9,TGT
2021-12-29,210.76,TGT
2021-12-30,213.97,TGT
2021-12-31,217.68,TGT
2022-01-03,216.09,TGT
2022-01-04,216.97,TGT
2022-01-05,219.59,TGT
2022-01-06,208.3,TGT
2022-01-07,215.26,TGT
2022-01-10,213.72,TGT
2022-01-11,213.3,TGT
2022-01-12,213.4,TGT
2022-01-13,210.68,TGT
2022-01-14,208.0,TGT
2022-01-18,204.6,TGT
2022-01-19,207.38,TGT
2022-01-20,210.43,TGT
2022-01-21,205.74,TGT
2022-01-24,201.43,TGT
2022-01-25,204.21,TGT
2022-01-26,201.64,TGT
2022-01-27,201.37,TGT
2022-01-28,200.4,TGT
2022-01-31,202.85,TGT
2022-02-01,207.6,TGT
2022-02-02,204.11,TGT
2022-02-03,200.36,TGT
2022-02-04,200.24,TGT
